"Name","MAC address","Model","Ethernet 1","Local IP","Current clients"
"AP20 - 110?","2c:3f:0b:56:de:4c","MR46","1000 Mbit, full duplex","10.232.200.111","null"
"AP24 - 1112","2c:3f:0b:56:de:64","MR46","1000 Mbit, full duplex","10.232.200.149","null"
"AP21 - 1007","2c:3f:0b:56:de:69","MR46","1000 Mbit, full duplex","10.232.200.108","null"
"AP05 - Missing?","2c:3f:0b:56:df:0e","MR46","null","null","null"
"AP40 - 3107","2c:3f:0b:56:df:2a","MR46","1000 Mbit, full duplex","10.232.200.116","null"
"AP36 - 3111","2c:3f:0b:56:df:61","MR46","1000 Mbit, full duplex","10.232.200.109","null"
"AP45 - Library Office","2c:3f:0b:56:df:a8","MR46","1000 Mbit, full duplex","10.232.200.125","null"
"AP47 - 2001","2c:3f:0b:56:e0:57","MR46","1000 Mbit, full duplex","10.232.200.128","2"
"AP41 - 3108","2c:3f:0b:56:e1:52","MR46","1000 Mbit, full duplex","10.232.200.115","null"
"AP07 - 1212 - NO CAT6","2c:3f:0b:56:e1:54","MR46","null","null","null"
"AP03 - Office 1","2c:3f:0b:56:e1:61","MR46","1000 Mbit, full duplex","10.232.200.132","null"
"AP29 -3101","2c:3f:0b:56:e1:63","MR46","1000 Mbit, full duplex","10.232.200.137","null"
"AP02 - Coach Office","2c:3f:0b:56:e1:64","MR46","1000 Mbit, full duplex","10.232.200.121","1"
"AP30 - 3005","2c:3f:0b:56:e1:66","MR46","1000 Mbit, full duplex","10.232.200.138","null"
"AP33 - 3008","2c:3f:0b:56:e1:74","MR46","1000 Mbit, full duplex","10.232.200.103","null"
"AP28 - 3001","2c:3f:0b:56:e1:83","MR46","1000 Mbit, full duplex","10.232.200.136","null"
"AP08 - Band Room","2c:3f:0b:56:e1:9e","MR46","1000 Mbit, full duplex","null","null"
"AP10 - 1101","2c:3f:0b:56:e1:a2","MR46","1000 Mbit, full duplex","10.232.200.131","null"
"AP48 - Library","2c:3f:0b:56:e1:b5","MR46","1000 Mbit, full duplex","10.232.200.127","null"
"AP52 - 2115","2c:3f:0b:56:e1:c7","MR46","100 Mbit, full duplex","10.232.200.129","null"
"AP22 - 1111","2c:3f:0b:56:e3:0e","MR46","1000 Mbit, full duplex","10.232.200.106","null"
"AP14 - 1003","2c:3f:0b:56:e3:0f","MR46","1000 Mbit, full duplex","10.232.200.123","null"
"AP15 - 1108","2c:3f:0b:56:e3:10","MR46","1000 Mbit, full duplex","10.232.200.100","null"
"AP32 - 3007","2c:3f:0b:56:e3:15","MR46","1000 Mbit, full duplex","10.232.200.147","null"
"AP31 - 3006","2c:3f:0b:56:e3:18","MR46","1000 Mbit, full duplex","10.232.200.142","1"
"AP13 - 1105 - NO CAT6","2c:3f:0b:56:e3:19","MR46","null","null","null"
"AP06 - Music Room","2c:3f:0b:56:e3:1a","MR46","1000 Mbit, full duplex","null","1"
"AP23 - 1008","2c:3f:0b:56:e3:1c","MR46","1000 Mbit, full duplex","10.232.200.104","null"
"AP55 - 2011","2c:3f:0b:56:e3:1d","MR46","1000 Mbit, full duplex","null","1"
"AP25 - Cafe Manager","2c:3f:0b:56:e3:1e","MR46","2500 Mbit, full duplex","10.232.200.105","1"
"AP01 - Gym Wall","2c:3f:0b:56:e3:1f","MR46","null","null","null"
"AP35 - 3010","2c:3f:0b:56:e3:20","MR46","1000 Mbit, full duplex","10.232.200.107","null"
"AP38 - 3109","2c:3f:0b:56:e3:23","MR46","1000 Mbit, full duplex","10.232.200.114","null"
"AP18 - 1005","2c:3f:0b:56:e3:25","MR46","1000 Mbit, full duplex","10.232.200.117","null"
"AP37 - 3110","2c:3f:0b:56:e3:26","MR46","1000 Mbit, full duplex","10.232.200.113","null"
"AP27 - Cafe 1","2c:3f:0b:56:e3:27","MR46","1000 Mbit, full duplex","10.232.200.144","null"
"AP39 - 3106","2c:3f:0b:56:e3:2a","MR46","1000 Mbit, full duplex","10.232.200.118","null"
"AP04 - Office 2","2c:3f:0b:56:e3:2d","MR46","1000 Mbit, full duplex","10.232.200.134","1"
"AP51 - 2009","2c:3f:0b:56:e3:2f","MR46","null","null","null"
"AP16 - 1004","2c:3f:0b:56:e3:30","MR46","1000 Mbit, full duplex","10.232.200.122","null"
"AP12 - 1002","2c:3f:0b:56:e3:32","MR46","1000 Mbit, full duplex","10.232.200.124","null"
"AP17 - 1104 or 1109","2c:3f:0b:56:e3:33","MR46","1000 Mbit, full duplex","10.232.200.119","null"
"AP09 - 2118","2c:3f:0b:56:e3:34","MR46","100 Mbit, full duplex","null","null"
"AP56 - 2117","2c:3f:0b:56:e3:35","MR46","1000 Mbit, full duplex","null","null"
"AP54 - 2010","2c:3f:0b:56:e3:36","MR46","100 Mbit, full duplex","10.232.200.143","1"
"AP26 - Cafe 2","2c:3f:0b:56:e3:3b","MR46","1000 Mbit, full duplex","10.232.200.145","null"
"AP53 - 2116","2c:3f:0b:56:e3:3c","MR46","100 Mbit, full duplex","null","null"
"AP46 - 2006","2c:3f:0b:56:e3:3d","MR46","1000 Mbit, full duplex","10.232.200.130","null"
"AP34 - 3009","2c:3f:0b:56:e3:3e","MR46","1000 Mbit, full duplex","10.232.200.148","null"
"AP44 - 2007","2c:3f:0b:56:e3:3f","MR46","null","null","1"
"AP43 - Hallway ?","2c:3f:0b:56:e3:44","MR46","1000 Mbit, full duplex","null","null"
"AP50 - 2008","2c:3f:0b:56:e3:46","MR46","1000 Mbit, full duplex","10.232.200.133","null"
"AP49 - 2107","2c:3f:0b:56:e3:4c","MR46","null","null","null"
"AP42 - 3003","2c:3f:0b:56:e3:4f","MR46","1000 Mbit, full duplex","10.232.200.120","7"
"AP11 - 1001","2c:3f:0b:56:e3:5c","MR46","100 Mbit, full duplex","10.232.200.126","null"
"AP19 - 1006","2c:3f:0b:56:e3:5d","MR46","1000 Mbit, full duplex","10.232.200.112","null"
